en_sentence	target_sentence
My grandmother told me stories.	زما نیا ما ماته کیسې وړې.
Teachers shape young minds.	استادان د ځوان ذهنونو شکل ورکوي.
People celebrate festivals with great joy.	خلک د خوښۍ سره جشنونه لمانځي.
After finishing his work, he sat down.	د خپل کار پای ته رسولو وروسته، ناست شو.
She cooked delicious biryani for the family.	هغې د کورنۍ لپاره خوندور بریاني پخ کړه.
Agriculture remains the primary source of income.	کرهڼه د عاید اصلي سرچینه پاتې ده.
The wedding ceremony lasted three days.	د واده مراسم درې ورځې دوام وکړ.
Train journeys offer scenic views.	د اورګاډو سفرونه د مناظرو لید ورکوي.
The wedding ceremony lasted three days.	د واده مراسم درې ورځې دوام وکړ.
Digital payments have made transactions faster.	ډیجیټل تادیاتو معاملات ګړندي کړي دي.
Elderly people share wisdom and stories.	زړون خلک حکمت او کیسې شریکوي.
The bus arrived late.	بس ورو ورو راغله.
Reading books improves vocabulary.	د کتابونو لوستل د لغت ښه والی کوي.
Children learn best when they are interested.	ماشومان غوره زده کوي کله چې دوی علاقه لري.
People celebrate festivals with great joy.	خلک د خوښۍ سره جشنونه لمانځي.
I woke up early this morning.	زه نن سهار وختي پاړ شوم.
Sports teach teamwork and discipline.	لوبې د ټیم کار او نظم زده کوي.
Online shopping has become popular.	آنلاین پلورلې محبوبه شوې ده.
Elderly people share wisdom and stories.	زړون خلک حکمت او کیسې شریکوي.
Students gathered in the library.	زده کوونکي په کتابتون کې راټول شول.
Doctors work long hours to treat patients.	داکتران د ناروغانو درملنې لپاره اوږد ساعتونه کار کوي.
Respecting elders is an important value.	د زړونو درناوی مهمه ارزښت دی.
Reading books improves vocabulary.	د کتابونو لوستل د لغت ښه والی کوي.
Learning a new language requires practice.	د نوې ژبې زده کړه تمرین ته اړتیا لري.
Digital payments have made transactions faster.	ډیجیټل تادیاتو معاملات ګړندي کړي دي.
The teacher explained the lesson patiently.	استاد صبر سره درس تشریح کړ.
Doctors work long hours to treat patients.	داکتران د ناروغانو درملنې لپاره اوږد ساعتونه کار کوي.
Cricket is a popular sport.	کریکټ یوه مشهوره لوبه ده.
Train journeys offer scenic views.	د اورګاډو سفرونه د مناظرو لید ورکوي.
The internet connects people across continents.	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.
Eating fresh fruits provides essential vitamins.	د تازه میوو خوړل اړین ویتامینونه برابروي.
The wedding ceremony lasted three days.	د واده مراسم درې ورځې دوام وکړ.
Tea is served to guests as a gesture of hospitality.	د مېلمانو د مېلمستیا د نښې په توګه چای وړاندې کیږي.
Reading books improves vocabulary.	د کتابونو لوستل د لغت ښه والی کوي.
Cricket is a popular sport.	کریکټ یوه مشهوره لوبه ده.
